Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6,Market Cap (Billion USD)
1,"LVMH Moët Hennessy - Louis Vuitton, SE",$309.59 B,France,French Consumer Discretionary,French Luxury Goods,,309.59
2,Hermès International SCA,$225.26 B,France,French Consumer Discretionary,French Luxury Goods,,225.26
3,L'Oréal SA,$190.79 B,France,French Consumer Staples,French Household & Personal Products,,190.79
4,Schneider Electric SE,$152.14 B,France,French Industrials,French Specialty Industrial Machinery,,152.14
5,TotalEnergies SE,$134.26 B,France,French Energy,French Oil & Gas Integrated,,134.26
6,Sanofi,$129.11 B,France,French Healthcare,French Drug Manufacturers—General,,129.11
7,EssilorLuxottica SA,$116.96 B,France,French Healthcare,French Medical Instruments & Supplies,,116.96
8,Christian Dior SE,$106.44 B,France,French Consumer Discretionary,French Luxury Goods,,106.44
9,Safran SA,$99.59 B,France,French Industrials,French Aerospace & Defense,,99.59
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
10,Air Liquide SA,$97.26 B,France,French Basic Materials,French Chemicals,,97.26
11,AXA SA,$80.18 B,France,French Financials,French Insurance—Diversified,,80.18
12,BNP Paribas SA,$68.54 B,France,French Financials,French Banks—Regional,,68.54
13,Vinci SA,$60.07 B,France,French Industrials,French Engineering & Construction,,60.07
14,Electricité de France SA,"$54.60 B  (June 1, 2023)",France,French Utilities,French Utilities—Diversified,,54.6
15,Dassault Systèmes SE,$47.28 B,France,French Technology,French Software—Application,,47.28
16,Compagnie de Saint-Gobain SA,$45.36 B,France,French Industrials,French Building Products & Equipment,,45.36
17,Danone SA,$43.34 B,France,French Consumer Staples,French Packaged Foods,,43.34
18,Crédit Agricole SA,$40.33 B,France,French Financials,French Banks—Regional,,40.33
19,Engie SA,$38.15 B,France,French Utilities,French Utilities—Diversified,,38.15
20,Thales SA,$32.14 B,France,French Industrials,French Aerospace & Defense,,32.14
21,Kering SA,$30.24 B,France,French Consumer Discretionary,French Luxury Goods,,30.24
22,Orange SA,$28.40 B,France,French Communication Services,French Telecom Services,,28.4
23,Pernod Ricard SA,$27.94 B,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,27.94
24,Capgemini SE,$27.45 B,France,French Technology,French Information Technology Services,,27.45
25,Publicis Groupe SA,$26.21 B,France,French Communication Services,French Advertising Agencies,,26.21
26,Legrand SA,$26.18 B,France,French Industrials,French Specialty Industrial Machinery,,26.18
27,Société Générale SA,$24.28 B,France,French Financials,French Banks—Regional,,24.28
28,Compagnie Générale des Etablissements Michelin SCA,$23.72 B,France,French Consumer Discretionary,French Auto Parts,,23.72
29,Veolia Environnement SA,$20.91 B,France,French Industrials,French Waste Management,,20.91
30,Sartorius Stedim Biotech SA,$20.62 B,France,French Healthcare,French Medical Instruments & Supplies,,20.62
31,Bolloré SE,$17.24 B,France,French Communication Services,French Entertainment,,17.24
32,Dassault Aviation SA,$16.83 B,France,French Industrials,French Aerospace & Defense,,16.83
33,Renault SA,$14.76 B,France,French Consumer Discretionary,French Auto Manufacturers,,14.76
34,Amundi SA,$13.78 B,France,French Financials,French Asset Management,,13.78
